+-----------------+----+-----------------+---------+-----+------------------+------------------------+-----------+
| Number of Nodes | %  | Number of Edges | Cliques |  k  | Basic Operations |          Time          |   Memory  |
|        48       | 12 |       127       |  False  |  5  |       2457       |  0.00031280517578125   |    0.0    |
|        48       | 25 |       254       |  False  |  12 |       2812       | 0.0004100799560546875  |    0.0    |
|        48       | 50 |       438       |  False  |  24 |       3369       | 0.0005550384521484375  |    0.0    |
|        48       | 75 |       609       |  False  |  36 |       4325       | 0.0007669925689697266  |    0.0    |
|        49       | 12 |       130       |  False  |  5  |       2560       | 0.0003371238708496094  |    0.0    |
|        49       | 25 |       262       |  False  |  12 |       2914       | 0.0004448890686035156  |    0.0    |
|        49       | 50 |       463       |  False  |  24 |       3513       | 0.0006170272827148438  |    0.0    |
|        49       | 75 |       627       |  False  |  36 |       5336       | 0.0008227825164794922  |    0.0    |
|        50       | 12 |       141       |  False  |  6  |       2699       | 0.0003581047058105469  |    0.0    |
|        50       | 25 |       271       |  False  |  12 |       3091       | 0.00046706199645996094 |    0.0    |
|        50       | 50 |       490       |  False  |  25 |       3769       | 0.0006651878356933594  |    0.0    |
|        50       | 75 |       629       |  False  |  37 |       4503       | 0.0008380413055419922  |    0.0    |
|        51       | 12 |       149       |  False  |  6  |       2824       | 0.0003979206085205078  |    0.0    |
|        51       | 25 |       286       |  False  |  12 |       3176       | 0.0004889965057373047  |    0.0    |
|        51       | 50 |       506       |  False  |  25 |       3941       | 0.0007178783416748047  |    0.0    |
|        51       | 75 |       665       |  False  |  38 |       4892       | 0.0009009838104248047  |    0.0    |
|        52       | 12 |       152       |  False  |  6  |       2943       | 0.0004646778106689453  |    0.0    |
|        52       | 25 |       287       |  False  |  13 |       3265       |  0.000514984130859375  |    0.0    |
|        52       | 50 |       520       |  False  |  26 |       4060       | 0.0007691383361816406  |    0.0    |
|        52       | 75 |       708       |  False  |  39 |       5088       | 0.0009188652038574219  |    0.0    |
|        53       | 12 |       158       |  False  |  6  |       3054       | 0.00041604042053222656 |    0.0    |
|        53       | 25 |       308       |  False  |  13 |       3462       | 0.0005381107330322266  |    0.0    |
|        53       | 50 |       550       |  False  |  26 |       4422       | 0.0008258819580078125  |    0.0    |
|        53       | 75 |       703       |  False  |  39 |       5111       | 0.0009548664093017578  |    0.0    |
|        54       | 12 |       157       |  False  |  6  |       3140       | 0.00041294097900390625 |    0.0    |
|        54       | 25 |       321       |  False  |  13 |       3658       |   0.000579833984375    |    0.0    |
|        54       | 50 |       555       |  False  |  27 |       4245       | 0.0008151531219482422  |    0.0    |
|        54       | 75 |       765       |  False  |  40 |       5642       | 0.0010700225830078125  |    0.0    |
|        55       | 12 |       170       |  False  |  6  |       3262       | 0.0004551410675048828  |    0.0    |
|        55       | 25 |       336       |  False  |  13 |       3717       | 0.0006661415100097656  |    0.0    |
|        55       | 50 |       588       |  False  |  27 |       4517       | 0.0008158683776855469  |    0.0    |
|        55       | 75 |       776       |  False  |  41 |       5847       | 0.0010311603546142578  |    0.0    |
|        56       | 12 |       174       |  False  |  6  |       3388       | 0.0004470348358154297  |    0.0    |
|        56       | 25 |       342       |  False  |  14 |       3822       | 0.0005898475646972656  |    0.0    |
|        56       | 50 |       611       |  False  |  28 |       4728       | 0.0009129047393798828  |    0.0    |
|        56       | 75 |       798       |  False  |  42 |       5525       |  0.001104116439819336  |    0.0    |
|        57       | 12 |       183       |  False  |  6  |       3562       | 0.0004737377166748047  |    0.0    |
|        57       | 25 |       348       |  False  |  14 |       3954       | 0.0006120204925537109  |    0.0    |
|        57       | 50 |       627       |  False  |  28 |       5030       | 0.0009222030639648438  |    0.0    |
|        57       | 75 |       828       |  False  |  42 |       6216       | 0.0012240409851074219  |    0.0    |
|        58       | 12 |       190       |  False  |  6  |       3663       | 0.0005428791046142578  |    0.0    |
|        58       | 25 |       369       |  False  |  14 |       4134       | 0.0006668567657470703  |    0.0    |
|        58       | 50 |       651       |  False  |  29 |       5123       | 0.0009739398956298828  |    0.0    |
|        58       | 75 |       880       |  False  |  43 |       6548       | 0.0012509822845458984  |    0.0    |
|        59       | 12 |       190       |  False  |  7  |       3766       | 0.0005159378051757812  |    0.0    |
|        59       | 25 |       369       |  False  |  14 |       4220       | 0.0006527900695800781  |    0.0    |
|        59       | 50 |       687       |  False  |  29 |       5589       |   0.001007080078125    |    0.0    |
|        59       | 75 |       900       |  False  |  44 |       6423       | 0.0012309551239013672  |    0.0    |
|        60       | 12 |       198       |  False  |  7  |       3929       | 0.0005249977111816406  |    0.0    |
|        60       | 25 |       392       |  False  |  15 |       4415       | 0.0007729530334472656  |    0.0    |
|        60       | 50 |       676       |  False  |  30 |       5417       |   0.0009918212890625   |    0.0    |
|        60       | 75 |       959       |  False  |  45 |       7078       | 0.0014309883117675781  |    0.0    |
|        61       | 12 |       210       |  False  |  7  |       4062       | 0.0005412101745605469  |    0.0    |
|        61       | 25 |       400       |  False  |  15 |       4570       | 0.0007140636444091797  |    0.0    |
|        61       | 50 |       718       |  False  |  30 |       5830       | 0.0010561943054199219  |    0.0    |
|        61       | 75 |       966       |  False  |  45 |       7395       | 0.0014328956604003906  |    0.0    |
|        62       | 12 |       217       |  False  |  7  |       4173       | 0.0005648136138916016  |    0.0    |
|        62       | 25 |       421       |  False  |  15 |       4755       | 0.0007569789886474609  |    0.0    |
|        62       | 50 |       747       |  False  |  31 |       5801       | 0.0010859966278076172  |    0.0    |
|        62       | 75 |       994       |  False  |  46 |       7211       | 0.0014562606811523438  |    0.0    |
|        63       | 12 |       224       |  False  |  7  |       4326       | 0.0005979537963867188  |    0.0    |
|        63       | 25 |       431       |  False  |  15 |       4870       | 0.0007729530334472656  |    0.0    |
|        63       | 50 |       768       |  False  |  31 |       6000       |  0.001135110855102539  |    0.0    |
|        63       | 75 |       1036      |  False  |  47 |       7713       | 0.0014739036560058594  |    0.0    |
|        64       | 12 |       225       |  False  |  7  |       4481       | 0.0006029605865478516  |    0.0    |
|        64       | 25 |       440       |  False  |  16 |       4998       | 0.0007998943328857422  |    0.0    |
|        64       | 50 |       808       |  False  |  32 |       6159       |  0.001180887222290039  |    0.0    |
|        64       | 75 |       1055      |  False  |  48 |       7783       | 0.0015099048614501953  |    0.0    |
|        65       | 12 |       228       |  False  |  7  |       4655       | 0.0006222724914550781  |    0.0    |
|        65       | 25 |       458       |  False  |  16 |       5206       | 0.0008449554443359375  |    0.0    |
|        65       | 50 |       810       |  False  |  32 |       6349       | 0.0012097358703613281  |    0.0    |
|        65       | 75 |       1093      |  False  |  48 |       7865       |  0.001566171646118164  |    0.0    |
|        66       | 12 |       244       |  False  |  7  |       4769       | 0.0006620883941650391  |    0.0    |
|        66       | 25 |       478       |  False  |  16 |       5446       | 0.0008809566497802734  |    0.0    |
|        66       | 50 |       854       |  False  |  33 |       7076       | 0.0012979507446289062  |    0.0    |
|        66       | 75 |       1149      |  False  |  49 |       8173       | 0.0016489028930664062  |    0.0    |
|        67       | 12 |       252       |  False  |  8  |       4952       | 0.0006787776947021484  |    0.0    |
|        67       | 25 |       486       |  False  |  16 |       5471       | 0.0008962154388427734  |    0.0    |
|        67       | 50 |       894       |  False  |  33 |       6956       | 0.0013539791107177734  |    0.0    |
|        67       | 75 |       1173      |  False  |  50 |       9312       | 0.0017757415771484375  |    0.0    |
|        68       | 12 |       263       |  False  |  8  |       5091       | 0.0006928443908691406  |    0.0    |
|        68       | 25 |       498       |  False  |  17 |       5587       | 0.0009191036224365234  |    0.0    |
|        68       | 50 |       885       |  False  |  34 |       6896       | 0.0013649463653564453  |    0.0    |
|        68       | 75 |       1196      |  False  |  51 |       8596       | 0.0017671585083007812  |    0.0    |
|        69       | 12 |       263       |  False  |  8  |       5210       | 0.0007140636444091797  |    0.0    |
|        69       | 25 |       517       |  False  |  17 |       5797       | 0.0009608268737792969  |    0.0    |
|        69       | 50 |       921       |  False  |  34 |       7210       | 0.0014209747314453125  |    0.0    |
|        69       | 75 |       1265      |  False  |  51 |       9872       | 0.0019910335540771484  |    0.0    |
|        70       | 12 |       271       |  False  |  8  |       5410       | 0.0007429122924804688  |    0.0    |
|        70       | 25 |       540       |  False  |  17 |       6079       | 0.0010249614715576172  |    0.0    |
|        70       | 50 |       933       |  False  |  35 |       7411       | 0.0014719963073730469  |    0.0    |
|        70       | 75 |       1293      |  False  |  52 |       9118       | 0.0019559860229492188  |    0.0    |
|        71       | 12 |       288       |  False  |  8  |       5607       | 0.0007779598236083984  |    0.0    |
|        71       | 25 |       550       |  False  |  17 |       6287       | 0.0010409355163574219  |    0.0    |
|        71       | 50 |       988       |  False  |  35 |       7780       | 0.0015499591827392578  |    0.0    |
|        71       | 75 |       1310      |  False  |  53 |       9610       | 0.0021660327911376953  |    0.0    |
|        72       | 12 |       290       |  False  |  8  |       5715       | 0.0007939338684082031  |    0.0    |
|        72       | 25 |       575       |  False  |  18 |       6402       |  0.001085042953491211  |    0.0    |
|        72       | 50 |       994       |  False  |  36 |       7902       | 0.0015799999237060547  |    0.0    |
|        72       | 75 |       1333      |  False  |  54 |      10495       |  0.002104043960571289  |    0.0    |
|        73       | 12 |       299       |  False  |  8  |       5880       | 0.0008440017700195312  |    0.0    |
|        73       | 25 |       567       |  False  |  18 |       6585       | 0.0011010169982910156  |    0.0    |
|        73       | 50 |       1029      |  False  |  36 |       8054       | 0.0016520023345947266  |    0.0    |
|        73       | 75 |       1392      |  False  |  54 |      10553       |  0.002168893814086914  |    0.0    |
|        74       | 12 |       312       |  False  |  8  |       6006       | 0.0008580684661865234  |    0.0    |
|        74       | 25 |       593       |  False  |  18 |       6781       | 0.0011451244354248047  |    0.0    |
|        74       | 50 |       1078      |  False  |  37 |       8398       |  0.001725912094116211  |    0.0    |
|        74       | 75 |       1411      |  False  |  55 |      10762       |  0.002274751663208008  |    0.0    |
|        75       | 12 |       314       |  False  |  9  |       6230       | 0.0008671283721923828  |    0.0    |
|        75       | 25 |       621       |  False  |  18 |       6909       | 0.0011949539184570312  |    0.0    |
|        75       | 50 |       1106      |  False  |  37 |       8855       | 0.0018229484558105469  |    0.0    |
|        75       | 75 |       1449      |  False  |  56 |      10668       |  0.002292156219482422  |    0.0    |
|        76       | 12 |       327       |  False  |  9  |       6428       | 0.0009000301361083984  |    0.0    |
|        76       | 25 |       622       |  False  |  19 |       7087       | 0.0012171268463134766  |    0.0    |
|        76       | 50 |       1132      |  False  |  38 |       9009       | 0.0018579959869384766  |    0.0    |
|        76       | 75 |       1505      |  False  |  57 |      11222       | 0.0024352073669433594  |    0.0    |
|        77       | 12 |       337       |  False  |  9  |       6517       | 0.0009620189666748047  |    0.0    |
|        77       | 25 |       648       |  False  |  19 |       7334       |  0.001294851303100586  |    0.0    |
|        77       | 50 |       1148      |  False  |  38 |       9086       | 0.0019199848175048828  |    0.0    |
|        77       | 75 |       1542      |  False  |  57 |      11658       | 0.0025370121002197266  |    0.0    |
|        78       | 12 |       348       |  False  |  9  |       6718       |   0.000946044921875    |    0.0    |
|        78       | 25 |       671       |  False  |  19 |       7561       | 0.0013279914855957031  |    0.0    |
|        78       | 50 |       1180      |  False  |  39 |       9178       |  0.001940011978149414  |    0.0    |
|        78       | 75 |       1587      |  False  |  58 |      11881       | 0.0025887489318847656  |    0.0    |
|        79       | 12 |       349       |  False  |  9  |       6866       | 0.0009808540344238281  |    0.0    |
|        79       | 25 |       673       |  False  |  19 |       7800       | 0.0013496875762939453  |    0.0    |
|        79       | 50 |       1229      |  False  |  39 |       9578       |  0.002052783966064453  |    0.0    |
|        79       | 75 |       1617      |  False  |  59 |      12578       |  0.002698659896850586  |    0.0    |
|        80       | 12 |       357       |  False  |  9  |       7036       |  0.001010894775390625  |    0.0    |
|        80       | 25 |       687       |  False  |  20 |       7870       | 0.0014009475708007812  |    0.0    |
