+-----------------+------+-----------------+-------+----+----------------+------------------+------------------------+--------+
| Number of Nodes |  %   | Number of Edges | (%) k | k  | Clique size k? | Basic Operations |          Time          | Memory |
|        12       |  25  |        16       |   25  | 3  |      True      |        7         | 1.811981201171875e-05  |  0.0   |
|        12       |  25  |        16       |   50  | 6  |     False      |       158        | 4.601478576660156e-05  |  0.0   |
|        12       |  25  |        16       |   75  | 9  |     False      |       158        | 7.009506225585938e-05  |  0.0   |
|        12       |  50  |        33       |   12  | 1  |     False      |        1         | 7.152557373046875e-06  |  0.0   |
|        12       |  50  |        33       |   25  | 3  |      True      |        8         |   1.52587890625e-05    |  0.0   |
|        12       |  50  |        33       |   50  | 6  |     False      |       187        | 4.410743713378906e-05  |  0.0   |
|        12       |  50  |        33       |   75  | 9  |     False      |       187        | 7.224082946777344e-05  |  0.0   |
|        12       |  75  |        50       |   12  | 1  |     False      |        1         | 1.0967254638671875e-05 |  0.0   |
|        12       |  75  |        50       |   25  | 3  |      True      |        6         | 2.193450927734375e-05  |  0.0   |
|        12       |  75  |        50       |   50  | 6  |     False      |       228        | 5.793571472167969e-05  |  0.0   |
|        12       |  75  |        50       |   75  | 9  |     False      |       228        | 9.107589721679688e-05  |  0.0   |
|        13       | 12.5 |        10       |   12  | 1  |     False      |        1         | 1.0013580322265625e-05 |  0.0   |
|        13       | 12.5 |        10       |   25  | 3  |     False      |       130        | 3.0994415283203125e-05 |  0.0   |
|        13       | 12.5 |        10       |   50  | 6  |     False      |       130        | 5.0067901611328125e-05 |  0.0   |
|        13       | 12.5 |        10       |   75  | 9  |     False      |       130        | 7.295608520507812e-05  |  0.0   |
|        13       |  25  |        20       |   12  | 1  |     False      |        1         | 6.198883056640625e-06  |  0.0   |
|        13       |  25  |        20       |   25  | 3  |      True      |        28        | 1.621246337890625e-05  |  0.0   |
|        13       |  25  |        20       |   50  | 6  |     False      |       190        | 4.506111145019531e-05  |  0.0   |
|        13       |  25  |        20       |   75  | 9  |     False      |       190        | 7.510185241699219e-05  |  0.0   |
|        13       |  50  |        39       |   12  | 1  |     False      |        1         | 7.152557373046875e-06  |  0.0   |
