Nodes,Percentagem,Edges,Different_k,Basic_Operations,Time,Memory
60,25,386,3,821,0.0007009506225585938,0.0
60,50,697,5,3683,0.0029261112213134766,0.0
60,75,936,7,15320,0.01186370849609375,0.0
61,12,202,2,329,0.0003578662872314453,0.0
61,25,406,3,867,0.0008111000061035156,0.0
61,50,730,5,4163,0.003309011459350586,0.0
61,75,951,7,12890,0.010198116302490234,0.0
62,12,210,2,335,0.00035309791564941406,0.0
62,25,421,3,939,0.0008630752563476562,0.0
62,50,728,5,4044,0.0033631324768066406,0.0
62,75,999,6,17719,0.01357889175415039,0.0
63,12,225,2,369,0.0003819465637207031,0.0
63,25,422,3,966,0.0008859634399414062,0.0
63,50,782,5,5077,0.004070281982421875,0.0
63,75,1032,7,18927,0.01447916030883789,0.0
64,12,227,2,377,0.00039005279541015625,0.0
64,25,451,3,1034,0.0009579658508300781,0.0
64,50,807,5,5125,0.0040819644927978516,0.0
64,75,1064,7,21134,0.0165560245513916,0.0
65,12,244,2,393,0.00040793418884277344,0.0
65,25,461,3,1059,0.0009827613830566406,0.0
65,50,835,5,5286,0.004147052764892578,0.0
65,75,1102,5,19235,0.015050888061523438,0.0
66,12,243,2,399,0.00045013427734375,0.0
66,25,481,3,1085,0.0010230541229248047,0.0
66,50,850,5,5613,0.004520893096923828,0.0
66,75,1134,6,22681,0.017372846603393555,0.0
67,12,244,3,417,0.00044608116149902344,0.0
67,25,486,4,1208,0.0010938644409179688,0.0
67,50,878,5,6119,0.00481724739074707,0.0
67,75,1177,6,25202,0.019253969192504883,0.0
68,12,255,3,418,0.0004467964172363281,0.0
68,25,502,3,1122,0.0010292530059814453,0.0
68,50,908,6,6253,0.00501704216003418,0.0
68,75,1206,6,31490,0.024107694625854492,0.0
69,12,268,2,462,0.0004839897155761719,0.0
69,25,514,3,1210,0.0010938644409179688,0.0
69,50,905,5,5522,0.004382133483886719,0.0
69,75,1241,6,29189,0.022471904754638672,0.0
70,12,268,2,434,0.0004570484161376953,0.0
70,25,533,3,1292,0.001177072525024414,0.0
70,50,972,5,7017,0.005586862564086914,0.0
70,75,1283,6,29167,0.022282123565673828,0.0
71,12,284,2,461,0.0005261898040771484,0.0
71,25,556,3,1357,0.0012247562408447266,0.0
71,50,982,5,6896,0.005622148513793945,0.0
71,75,1308,6,30843,0.023546218872070312,0.0
72,12,282,2,472,0.0005121231079101562,0.0
72,25,565,3,1290,0.0010900497436523438,0.0
72,50,1005,5,7413,0.013767004013061523,0.0
72,75,1358,6,36729,0.028558015823364258,0.0
73,12,297,2,439,0.0005071163177490234,0.0
73,25,584,3,1469,0.0012600421905517578,0.0
73,50,1013,5,6881,0.005470991134643555,0.0
73,75,1378,7,35480,0.027565956115722656,0.0
74,12,299,2,485,0.0005540847778320312,0.0
74,25,595,3,1418,0.0013082027435302734,0.0
74,50,1069,6,8341,0.0066738128662109375,0.0
74,75,1437,7,37305,0.028948068618774414,0.0
75,12,322,3,550,0.0006000995635986328,0.0
75,25,613,4,1582,0.001338958740234375,0.0
75,50,1092,6,8189,0.006436824798583984,0.0
75,75,1474,6,39499,0.03032207489013672,0.0
76,12,328,2,548,0.0006139278411865234,0.0
76,25,622,3,1448,0.001249074935913086,0.0
76,50,1106,5,8819,0.007008075714111328,0.0
76,75,1502,6,40053,0.030994176864624023,0.0
77,12,337,2,565,0.00061798095703125,0.0
77,25,644,3,1625,0.0013680458068847656,0.0
77,50,1153,5,9004,0.0071299076080322266,0.0
77,75,1567,6,56825,0.04409170150756836,0.0
78,12,341,2,564,0.0006461143493652344,0.0
78,25,663,3,1694,0.0014491081237792969,0.0
78,50,1170,5,9281,0.007382869720458984,0.0
78,75,1603,7,55098,0.04206418991088867,23.3125
79,12,343,2,561,0.0006551742553710938,0.0
79,25,683,3,1669,0.0014128684997558594,0.0
79,50,1223,5,9961,0.007935047149658203,0.0
79,75,1641,7,60141,0.05491495132446289,0.0
80,12,360,2,643,0.0007321834564208984,0.0
80,25,690,3,1765,0.0015017986297607422,0.0
80,50,1241,5,9890,0.007879972457885742,0.0
80,75,1642,6,48615,0.038136959075927734,0.0
81,12,370,3,663,0.0007238388061523438,0.0
81,25,726,3,2064,0.0017540454864501953,0.0
81,50,1272,5,10677,0.008336067199707031,0.0
81,75,1714,7,65298,0.05085587501525879,0.0
82,12,380,2,622,0.0007078647613525391,0.0
82,25,726,3,1997,0.0017070770263671875,0.0
82,50,1301,5,11570,0.009167671203613281,0.0
82,75,1756,7,66082,0.05136609077453613,0.0
83,12,376,2,624,0.0007381439208984375,0.0
83,25,748,4,1942,0.0016410350799560547,0.0
83,50,1332,6,12688,0.010239124298095703,0.0
83,75,1808,7,72977,0.05683398246765137,0.0
84,12,401,2,690,0.0008099079132080078,0.0
84,25,769,3,1987,0.0017261505126953125,0.0
84,50,1368,5,12819,0.010189056396484375,0.0
84,75,1855,6,75298,0.05841803550720215,0.0
85,12,404,2,694,0.0008351802825927734,0.0
85,25,806,4,2288,0.002008199691772461,0.0
85,50,1419,6,13689,0.010759830474853516,0.0
85,75,1894,7,82813,0.06481575965881348,0.0
86,12,411,2,706,0.0008313655853271484,0.0
86,25,826,4,2479,0.0021600723266601562,0.0
86,50,1431,5,13654,0.011088132858276367,0.0
86,75,1948,6,80409,0.06301188468933105,0.0
87,12,425,2,721,0.0008521080017089844,0.0
87,25,826,4,2274,0.001992940902709961,0.0
87,50,1465,6,14215,0.011202096939086914,0.0
87,75,1985,7,90514,0.06981277465820312,0.0
88,12,425,2,730,0.0008821487426757812,0.0
88,25,848,3,2331,0.0020389556884765625,0.0
88,50,1525,5,16062,0.012996196746826172,0.0
88,75,2042,7,90834,0.07040691375732422,0.0
89,12,448,3,825,0.0010008811950683594,0.0
89,25,872,4,2278,0.001959085464477539,0.0
89,50,1529,5,14350,0.011672258377075195,0.0
89,75,2068,7,92145,0.08089017868041992,0.0
90,12,448,2,777,0.0009448528289794922,0.0
90,25,897,4,2531,0.0021979808807373047,0.0
90,50,1595,6,17805,0.014093160629272461,0.0
90,75,2109,7,102249,0.08034777641296387,2.578125
91,12,460,2,813,0.0009768009185791016,0.0
91,25,901,4,2546,0.002229928970336914,0.0
91,50,1612,6,16860,0.013326883316040039,0.0
91,75,2171,7,102881,0.07985997200012207,0.0
92,12,475,3,832,0.0010471343994140625,0.0
92,25,924,3,2548,0.0022211074829101562,0.0
92,50,1641,6,16955,0.013519763946533203,0.0
92,75,2190,7,107448,0.08485198020935059,0.0
93,12,492,3,894,0.0012471675872802734,0.0
93,25,963,4,2712,0.002403736114501953,0.0
93,50,1677,6,17606,0.014208078384399414,0.0
93,75,2246,7,116019,0.09387898445129395,0.0
94,12,500,2,868,0.0011072158813476562,0.0
94,25,950,4,2669,0.0023839473724365234,0.0
94,50,1734,6,20515,0.01645803451538086,0.0
94,75,2296,7,115902,0.09163379669189453,0.0
95,12,507,2,912,0.0011138916015625,0.0
95,25,986,4,2828,0.002445697784423828,0.0
95,50,1774,6,23998,0.019397735595703125,0.0
95,75,2399,7,145686,0.11469006538391113,0.0
96,12,513,3,835,0.0011451244354248047,0.0
96,25,1012,4,2890,0.0025339126586914062,0.0
96,50,1772,6,21469,0.01699686050415039,0.0
96,75,2375,7,114618,0.09790396690368652,0.0
97,12,530,3,901,0.0011248588562011719,0.0
97,25,1012,4,2972,0.0025780200958251953,0.0
97,50,1847,6,23600,0.01879405975341797,0.0
97,75,2460,7,135782,0.10974597930908203,0.0
98,12,538,2,907,0.0012707710266113281,0.0
