+-----------------+------+-----------------+-------+----+----------------+------------------+------------------------+--------+
| Number of Nodes |  %   | Number of Edges | (%) k | k  | Clique size k? | Basic Operations |          Time          | Memory |
|        17       |  25  |        34       |   25  | 4  |     False      |       334        | 5.1975250244140625e-05 |  0.0   |
|        17       |  25  |        34       |   50  | 8  |     False      |       334        | 9.489059448242188e-05  |  0.0   |
|        17       |  25  |        34       |   75  | 12 |     False      |       334        | 0.00013899803161621094 |  0.0   |
|        17       |  50  |        68       |   12  | 2  |      True      |        1         | 7.152557373046875e-06  |  0.0   |
|        17       |  50  |        68       |   25  | 4  |      True      |        13        | 1.4066696166992188e-05 |  0.0   |
|        17       |  50  |        68       |   50  | 8  |     False      |       410        | 7.295608520507812e-05  |  0.0   |
|        17       |  50  |        68       |   75  | 12 |     False      |       410        | 0.00012993812561035156 |  0.0   |
|        17       |  75  |       102       |   12  | 2  |      True      |        1         | 5.9604644775390625e-06 |  0.0   |
|        17       |  75  |       102       |   25  | 4  |      True      |        12        | 1.2874603271484375e-05 |  0.0   |
|        17       |  75  |       102       |   50  | 8  |     False      |       441        | 8.296966552734375e-05  |  0.0   |
|        17       |  75  |       102       |   75  | 12 |     False      |       441        | 0.0001506805419921875  |  0.0   |
|        18       | 12.5 |        19       |   12  | 2  |      True      |        1         | 6.9141387939453125e-06 |  0.0   |
|        18       | 12.5 |        19       |   25  | 4  |     False      |       332        | 4.982948303222656e-05  |  0.0   |
|        18       | 12.5 |        19       |   50  | 9  |     False      |       332        | 9.298324584960938e-05  |  0.0   |
|        18       | 12.5 |        19       |   75  | 13 |     False      |       332        | 0.00013589859008789062 |  0.0   |
|        18       |  25  |        38       |   12  | 2  |      True      |        1         | 6.9141387939453125e-06 |  0.0   |
|        18       |  25  |        38       |   25  | 4  |     False      |       380        | 5.817413330078125e-05  |  0.0   |
|        18       |  25  |        38       |   50  | 9  |     False      |       380        | 0.00010919570922851562 |  0.0   |
|        18       |  25  |        38       |   75  | 13 |     False      |       380        | 0.00015807151794433594 |  0.0   |
|        18       |  50  |        76       |   12  | 2  |      True      |        1         | 6.198883056640625e-06  |  0.0   |
