+-----------------+------+-----------------+-------+----+----------------+------------------+------------------------+-----------+
| Number of Nodes |  %   | Number of Edges | (%) k | k  | Clique size k? | Basic Operations |          Time          |   Memory  |
|        17       |  25  |        34       |   25  | 4  |     False      |        53        | 4.8160552978515625e-05 |    0.0    |
|        17       |  25  |        34       |   50  | 8  |     False      |        53        | 4.601478576660156e-05  |    0.0    |
|        17       |  25  |        34       |   75  | 12 |     False      |        53        | 4.506111145019531e-05  |    0.0    |
|        17       |  50  |        68       |  12.5 | 2  |     False      |       104        |   9.918212890625e-05   |    0.0    |
|        17       |  50  |        68       |   25  | 4  |      True      |       104        | 9.083747863769531e-05  |    0.0    |
|        17       |  50  |        68       |   50  | 8  |     False      |       104        | 8.916854858398438e-05  |    0.0    |
|        17       |  50  |        68       |   75  | 12 |     False      |       104        | 8.702278137207031e-05  |    0.0    |
|        17       |  75  |       102       |  12.5 | 2  |     False      |       138        | 0.0001308917999267578  |    0.0    |
|        17       |  75  |       102       |   25  | 4  |      True      |       138        |    0.0001220703125     |    0.0    |
|        17       |  75  |       102       |   50  | 8  |     False      |       138        | 0.00011706352233886719 |    0.0    |
|        17       |  75  |       102       |   75  | 12 |     False      |       138        | 0.00011491775512695312 |    0.0    |
|        18       | 12.5 |        19       |  12.5 | 2  |      True      |        37        | 3.719329833984375e-05  |    0.0    |
|        18       | 12.5 |        19       |   25  | 4  |     False      |        37        | 3.2901763916015625e-05 |    0.0    |
|        18       | 12.5 |        19       |   50  | 9  |     False      |        37        | 3.1948089599609375e-05 |    0.0    |
|        18       | 12.5 |        19       |   75  | 13 |     False      |        37        | 3.1948089599609375e-05 |    0.0    |
|        18       |  25  |        38       |  12.5 | 2  |      True      |        62        | 5.888938903808594e-05  |    0.0    |
|        18       |  25  |        38       |   25  | 4  |     False      |        62        | 5.507469177246094e-05  |    0.0    |
|        18       |  25  |        38       |   50  | 9  |     False      |        62        | 5.2928924560546875e-05 |    0.0    |
|        18       |  25  |        38       |   75  | 13 |     False      |        62        | 5.1021575927734375e-05 |    0.0    |
|        18       |  50  |        76       |  12.5 | 2  |      True      |       126        | 0.00011587142944335938 |    0.0    |
|        18       |  50  |        76       |   25  | 4  |      True      |       126        |   0.0001068115234375   |    0.0    |
|        18       |  50  |        76       |   50  | 9  |     False      |       126        | 0.00010395050048828125 |    0.0    |
|        18       |  50  |        76       |   75  | 13 |     False      |       126        | 0.00010204315185546875 |    0.0    |
|        18       |  75  |       115       |  12.5 | 2  |     False      |       181        | 0.00016689300537109375 |    0.0    |
|        18       |  75  |       115       |   25  | 4  |      True      |       181        | 0.0001533031463623047  |    0.0    |
|        18       |  75  |       115       |   50  | 9  |     False      |       181        | 0.0001499652862548828  |    0.0    |
|        18       |  75  |       115       |   75  | 13 |     False      |       181        | 0.00014734268188476562 |    0.0    |
|        19       | 12.5 |        21       |  12.5 | 2  |      True      |        41        | 4.124641418457031e-05  |    0.0    |
|        19       | 12.5 |        21       |   25  | 4  |     False      |        41        | 3.6716461181640625e-05 |    0.0    |
|        19       | 12.5 |        21       |   50  | 9  |     False      |        41        | 3.600120544433594e-05  |    0.0    |
|        19       | 12.5 |        21       |   75  | 14 |     False      |        41        | 3.5762786865234375e-05 |    0.0    |
|        19       |  25  |        43       |  12.5 | 2  |      True      |        71        | 6.818771362304688e-05  |    0.0    |
|        19       |  25  |        43       |   25  | 4  |     False      |        71        | 6.389617919921875e-05  |    0.0    |
