+-----------------+----+-----------------+------------------------------------------+-------------+------------------------+
| Number of Nodes | %  | Number of Edges |                 Cliques                  | Different k |          Time          |
|        35       | 75 |       311       |            [2, 3, 4, 5, 6, 7]            |      6      | 0.0013561248779296875  |
|        36       | 12 |        72       |               [2, 3, 4, 5]               |      4      | 0.0003180503845214844  |
|        36       | 25 |       143       |             [2, 3, 4, 5, 6]              |      5      | 0.0005099773406982422  |
|        36       | 50 |       253       |             [2, 3, 4, 5, 6]              |      5      | 0.0009019374847412109  |
|        36       | 75 |       337       |          [2, 3, 4, 5, 6, 7, 8]           |      7      |     0.001708984375     |
|        37       | 12 |        72       |                [2, 3, 4]                 |      3      | 0.0002620220184326172  |
|        37       | 25 |       150       |               [2, 3, 4, 5]               |      4      | 0.00047707557678222656 |
|        37       | 50 |       267       |             [2, 3, 4, 5, 6]              |      5      |  0.001035928726196289  |
|        37       | 75 |       351       |          [2, 3, 4, 5, 6, 7, 8]           |      7      | 0.0018007755279541016  |
|        38       | 12 |        82       |               [2, 3, 4, 5]               |      4      | 0.00036716461181640625 |
|        38       | 25 |       167       |               [2, 3, 4, 5]               |      4      | 0.0005021095275878906  |
|        38       | 50 |       291       |            [2, 3, 4, 5, 6, 7]            |      6      | 0.0011169910430908203  |
|        38       | 75 |       382       |         [2, 3, 4, 5, 6, 7, 8, 9]         |      8      | 0.0020189285278320312  |
|        39       | 12 |        84       |               [2, 3, 4, 5]               |      4      | 0.00037097930908203125 |
|        39       | 25 |       169       |               [2, 3, 4, 5]               |      4      | 0.0005238056182861328  |
|        39       | 50 |       289       |            [2, 3, 4, 5, 6, 7]            |      6      | 0.0011830329895019531  |
|        39       | 75 |       382       |          [2, 3, 4, 5, 6, 7, 8]           |      7      |  0.001811981201171875  |
|        40       | 12 |        90       |                [2, 3, 4]                 |      3      | 0.0003311634063720703  |
|        40       | 25 |       173       |               [2, 3, 4, 5]               |      4      |  0.00055694580078125   |
|        40       | 50 |       298       |            [2, 3, 4, 5, 6, 7]            |      6      | 0.0014202594757080078  |
|        40       | 75 |       409       |          [2, 3, 4, 5, 6, 7, 8]           |      7      | 0.0019130706787109375  |
|        41       | 12 |        92       |               [2, 3, 4, 5]               |      4      | 0.00041103363037109375 |
|        41       | 25 |       186       |               [2, 3, 4, 5]               |      4      | 0.0005812644958496094  |
|        41       | 50 |       328       |            [2, 3, 4, 5, 6, 7]            |      6      | 0.0014109611511230469  |
|        41       | 75 |       444       |          [2, 3, 4, 5, 6, 7, 8]           |      7      |  0.002496957778930664  |
|        42       | 12 |       100       |               [2, 3, 4, 5]               |      4      | 0.00045800209045410156 |
|        42       | 25 |       195       |               [2, 3, 4, 5]               |      4      | 0.0006639957427978516  |
|        42       | 50 |       337       |            [2, 3, 4, 5, 6, 7]            |      6      | 0.0015087127685546875  |
|        42       | 75 |       465       |         [2, 3, 4, 5, 6, 7, 8, 9]         |      8      |  0.00310516357421875   |
|        43       | 12 |       104       |               [2, 3, 4, 5]               |      4      | 0.0005230903625488281  |
|        43       | 25 |       208       |               [2, 3, 4, 5]               |      4      | 0.0006690025329589844  |
|        43       | 50 |       354       |            [2, 3, 4, 5, 6, 7]            |      6      | 0.0014519691467285156  |
|        43       | 75 |       478       |          [2, 3, 4, 5, 6, 7, 8]           |      7      |  0.003055095672607422  |
|        44       | 12 |       106       |               [2, 3, 4, 5]               |      4      | 0.0005598068237304688  |
|        44       | 25 |       210       |               [2, 3, 4, 5]               |      4      | 0.0006680488586425781  |
|        44       | 50 |       370       |             [2, 3, 4, 5, 6]              |      5      | 0.0015058517456054688  |
|        44       | 75 |       499       |          [2, 3, 4, 5, 6, 7, 8]           |      7      | 0.0029706954956054688  |
|        45       | 12 |       109       |               [2, 3, 4, 5]               |      4      | 0.0004627704620361328  |
