+-----------------+----+-----------------+------------------------------------+-------------+------------------------+
| Number of Nodes | %  | Number of Edges |              Cliques               | Different k |          Time          |
|        51       | 50 |       511       |          [3, 4, 5, 6, 7]           |      5      | 0.0017237663269042969  |
|        51       | 75 |       689       |          [4, 5, 6, 7, 8]           |      5      |  0.00445103645324707   |
|        52       | 12 |       152       |             [2, 3, 4]              |      3      | 0.00022792816162109375 |
|        52       | 25 |       295       |            [2, 3, 4, 5]            |      4      | 0.0005941390991210938  |
|        52       | 50 |       532       |            [3, 4, 5, 6]            |      4      | 0.0018608570098876953  |
|        52       | 75 |       706       |       [3, 4, 5, 6, 7, 8, 9]        |      7      |  0.004319906234741211  |
|        53       | 12 |       154       |             [2, 3, 4]              |      3      | 0.00022792816162109375 |
|        53       | 25 |       295       |            [2, 3, 4, 5]            |      4      | 0.0005300045013427734  |
|        53       | 50 |       549       |          [3, 4, 5, 6, 7]           |      5      | 0.0018839836120605469  |
|        53       | 75 |       728       |       [3, 4, 5, 6, 7, 8, 9]        |      7      |  0.004621982574462891  |
|        54       | 12 |       160       |             [2, 3, 4]              |      3      | 0.00023698806762695312 |
|        54       | 25 |       313       |            [2, 3, 4, 5]            |      4      | 0.0005598068237304688  |
|        54       | 50 |       579       |          [3, 4, 5, 6, 7]           |      5      | 0.0020520687103271484  |
|        54       | 75 |       772       |          [4, 5, 6, 7, 8]           |      5      |  0.005937814712524414  |
|        55       | 12 |       164       |             [2, 3, 4]              |      3      | 0.00024008750915527344 |
|        55       | 25 |       322       |            [2, 3, 4, 5]            |      4      | 0.0005550384521484375  |
|        55       | 50 |       593       |          [3, 4, 5, 6, 7]           |      5      | 0.0018570423126220703  |
|        55       | 75 |       791       |       [4, 5, 6, 7, 8, 9, 10]       |      7      |  0.005170106887817383  |
|        56       | 12 |       174       |             [2, 3, 4]              |      3      | 0.0002589225769042969  |
|        56       | 25 |       340       |             [2, 3, 4]              |      3      | 0.0006570816040039062  |
|        56       | 50 |       615       |            [3, 4, 5, 6]            |      4      | 0.0022919178009033203  |
|        56       | 75 |       830       |          [4, 5, 6, 7, 8]           |      5      |  0.006948947906494141  |
|        57       | 12 |       181       |             [2, 3, 4]              |      3      | 0.00026488304138183594 |
|        57       | 25 |       353       |            [2, 3, 4, 5]            |      4      | 0.0006530284881591797  |
|        57       | 50 |       639       |          [3, 4, 5, 6, 7]           |      5      |  0.002171039581298828  |
|        57       | 75 |       847       |          [4, 5, 6, 7, 8]           |      5      |  0.006569862365722656  |
|        58       | 12 |       189       |             [2, 3, 4]              |      3      | 0.0002741813659667969  |
|        58       | 25 |       374       |            [2, 3, 4, 5]            |      4      | 0.0007030963897705078  |
|        58       | 50 |       662       |          [3, 4, 5, 6, 7]           |      5      | 0.0024518966674804688  |
|        58       | 75 |       885       |          [4, 5, 6, 7, 8]           |      5      | 0.0073299407958984375  |
|        59       | 12 |       195       |             [2, 3, 4]              |      3      | 0.0002868175506591797  |
|        59       | 25 |       381       |            [2, 3, 4, 5]            |      4      | 0.0007491111755371094  |
|        59       | 50 |       674       |          [3, 4, 5, 6, 7]           |      5      | 0.0025153160095214844  |
|        59       | 75 |       900       |         [3, 4, 5, 6, 7, 8]         |      6      |  0.007043123245239258  |
|        60       | 12 |       204       |             [2, 3, 4]              |      3      | 0.0002999305725097656  |
|        60       | 25 |       393       |            [2, 3, 4, 5]            |      4      | 0.0007648468017578125  |
|        60       | 50 |       701       |          [3, 4, 5, 6, 7]           |      5      | 0.0025658607482910156  |
|        60       | 75 |       928       |         [4, 5, 6, 7, 8, 9]         |      6      |  0.007340908050537109  |
|        61       | 12 |       211       |             [2, 3, 4]              |      3      | 0.00032520294189453125 |
|        61       | 25 |       403       |            [2, 3, 4, 5]            |      4      | 0.0007891654968261719  |
|        61       | 50 |       722       |          [3, 4, 5, 6, 7]           |      5      | 0.0026900768280029297  |
|        61       | 75 |       969       |     [3, 4, 5, 6, 7, 8, 9, 10]      |      8      |  0.008270740509033203  |
|        62       | 12 |       216       |             [2, 3, 4]              |      3      | 0.00033283233642578125 |
|        62       | 25 |       423       |            [2, 3, 4, 5]            |      4      | 0.0009160041809082031  |
|        62       | 50 |       740       |          [3, 4, 5, 6, 7]           |      5      | 0.0028548240661621094  |
|        62       | 75 |       1001      |         [4, 5, 6, 7, 8, 9]         |      6      |  0.009067058563232422  |
|        63       | 12 |       222       |             [2, 3, 4]              |      3      | 0.00035691261291503906 |
|        63       | 25 |       435       |            [2, 3, 4, 5]            |      4      | 0.0008819103240966797  |
|        63       | 50 |       765       |          [3, 4, 5, 6, 7]           |      5      |  0.002869129180908203  |
|        63       | 75 |       1027      |         [4, 5, 6, 7, 8, 9]         |      6      |  0.009692907333374023  |
|        64       | 12 |       226       |             [2, 3, 4]              |      3      | 0.0003402233123779297  |
|        64       | 25 |       448       |            [2, 3, 4, 5]            |      4      | 0.0009059906005859375  |
|        64       | 50 |       792       |         [3, 4, 5, 6, 7, 8]         |      6      |  0.003187894821166992  |
|        64       | 75 |       1061      |          [4, 5, 6, 7, 8]           |      5      |  0.01048421859741211   |
|        65       | 12 |       235       |             [2, 3, 4]              |      3      | 0.0003590583801269531  |
|        65       | 25 |       458       |            [2, 3, 4, 5]            |      4      | 0.0010209083557128906  |
|        65       | 50 |       820       |          [3, 4, 5, 6, 7]           |      5      | 0.0036139488220214844  |
|        65       | 75 |       1112      |         [4, 5, 6, 7, 8, 9]         |      6      |  0.013086795806884766  |
|        66       | 12 |       243       |             [2, 3, 4]              |      3      | 0.0003650188446044922  |
|        66       | 25 |       473       |          [2, 3, 4, 5, 6]           |      5      |   0.001068115234375    |
|        66       | 50 |       847       |          [3, 4, 5, 6, 7]           |      5      | 0.0036580562591552734  |
|        66       | 75 |       1141      |         [4, 5, 6, 7, 8, 9]         |      6      |  0.012897014617919922  |
|        67       | 12 |       251       |             [2, 3, 4]              |      3      | 0.0003719329833984375  |
|        67       | 25 |       486       |            [2, 3, 4, 5]            |      4      |  0.00109100341796875   |
|        67       | 50 |       868       |          [3, 4, 5, 6, 7]           |      5      |  0.003911256790161133  |
|        67       | 75 |       1178      |         [4, 5, 6, 7, 8, 9]         |      6      |  0.013752937316894531  |
|        68       | 12 |       257       |             [2, 3, 4]              |      3      | 0.0004000663757324219  |
|        68       | 25 |       496       |            [2, 3, 4, 5]            |      4      | 0.0011587142944335938  |
|        68       | 50 |       881       |          [3, 4, 5, 6, 7]           |      5      |  0.00409698486328125   |
|        68       | 75 |       1202      |         [4, 5, 6, 7, 8, 9]         |      6      |  0.014250040054321289  |
|        69       | 12 |       265       |             [2, 3, 4]              |      3      | 0.0004191398620605469  |
|        69       | 25 |       504       |            [2, 3, 4, 5]            |      4      | 0.0010981559753417969  |
|        69       | 50 |       903       |          [3, 4, 5, 6, 7]           |      5      |  0.003869771957397461  |
|        69       | 75 |       1219      |         [4, 5, 6, 7, 8, 9]         |      6      |  0.013125896453857422  |
|        70       | 12 |       269       |             [2, 3, 4]              |      3      | 0.0004069805145263672  |
|        70       | 25 |       527       |            [2, 3, 4, 5]            |      4      | 0.0011899471282958984  |
|        70       | 50 |       928       |          [3, 4, 5, 6, 7]           |      5      |  0.004041910171508789  |
|        70       | 75 |       1244      |         [4, 5, 6, 7, 8, 9]         |      6      |  0.01317596435546875   |
|        71       | 12 |       284       |             [2, 3, 4]              |      3      | 0.0005741119384765625  |
|        71       | 25 |       543       |            [2, 3, 4, 5]            |      4      |  0.001241922378540039  |
|        71       | 50 |       973       |          [3, 4, 5, 6, 7]           |      5      |  0.004807949066162109  |
|        71       | 75 |       1314      |         [4, 5, 6, 7, 8, 9]         |      6      |  0.017352819442749023  |
|        72       | 12 |       284       |             [2, 3, 4]              |      3      | 0.0004239082336425781  |
|        72       | 25 |       553       |          [2, 3, 4, 5, 6]           |      5      | 0.0011970996856689453  |
|        72       | 50 |       996       |          [3, 4, 5, 6, 7]           |      5      |  0.004767894744873047  |
|        72       | 75 |       1341      |         [4, 5, 6, 7, 8, 9]         |      6      |  0.01791524887084961   |
|        73       | 12 |       293       |             [2, 3, 4]              |      3      | 0.0004658699035644531  |
|        73       | 25 |       573       |            [2, 3, 4, 5]            |      4      | 0.0018758773803710938  |
|        73       | 50 |       1029      |          [3, 4, 5, 6, 7]           |      5      | 0.0058329105377197266  |
|        73       | 75 |       1398      |       [4, 5, 6, 7, 8, 9, 10]       |      7      |  0.02209305763244629   |
|        74       | 12 |       306       |             [2, 3, 4]              |      3      | 0.0005230903625488281  |
|        74       | 25 |       597       |            [2, 3, 4, 5]            |      4      | 0.0013790130615234375  |
|        74       | 50 |       1053      |          [3, 4, 5, 6, 7]           |      5      |  0.005709171295166016  |
